id,url,place,kind,purchaser,date,contractor,price_info
2021/S 022-051698,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,12/01/2021,"Vemax auto, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 46 718.00 CZKCałkowita końcowa wartość umowy/części: 46 718.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",02/12/2020,"Elmoz Czech, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 7 216 027.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",24/11/2020,"R-built, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 3 178 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",19/10/2020,"Brema, spol. s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 798 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",23/10/2020,"Engie Services, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 3 216 222.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",25/10/2020,Miloslav Kalců,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 792 414.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",29/10/2020,"Maděra a Šípek, spol s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 9 373 142.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",26/10/2020,"Elektroštika, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 4 114 601.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",02/11/2020,"Union Grid, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 265 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",20/11/2020,Tomáš Havlíček,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 5 606 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",06/10/2020,"KS montáže, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 770 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",06/11/2020,"AZ Elektrostav, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 10 460 830.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",16/12/2020,"Elektrostav Strakonice, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 295 570.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",10/11/2020,Miroslav Cihelka,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 3 846 700.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",27/10/2020,"Energon Dobříš, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 7 187 900.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",30/10/2020,"Kryll elektro, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 165 207.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",14/10/2020,"K. Uhlíř, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 311 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",27/10/2020,Karel Vaníček,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 507 780.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",02/10/2020,"Elektromontáže, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 228 686.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",01/12/2020,"Uniservis Hašek, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 232 600.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",11/11/2020,"Elektro Martínek, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 981 700.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",12/11/2020,"Com - Pakt Energy, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 132 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",11/12/2020,"Elektromont Matějka, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 564 393.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",10/12/2020,Petr Kadlec - Elektro-Kovo,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 077 000.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",01/12/2020,"Ungerer, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 960 626.00 CZK
2021/S 021-051084,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",09/11/2020,"Elvitech, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 6 846 084.00 CZK
2021/S 021-049011,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty wykończeniowe w zakresie obiektów budowlanych,"Ministerstvo obrany - Česká republika, Sekce právní a investiční MO",03/12/2020,Roman Topinka,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 2 093 005.36 CZK
2021/S 021-049010,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Kralupy nad Vltavou,Powtórne malowanie,"Mero ČR, a.s.",20/10/2020,"Proficolor, společnost s ručením omezeným",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 63 537.00 CZK
2021/S 021-049010,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Kralupy nad Vltavou,Powtórne malowanie,"Mero ČR, a.s.",21/12/2020,"Proficolor, společnost s ručením omezeným",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 395 824.00 CZK
2021/S 021-049008,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Havířov,Instalowanie wind,statutární město Havířov,26/01/2021,"Lift Servis Work, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 22 724 851.00 CZKCałkowita końcowa wartość umowy/części: 19 999 834.00 CZK
2021/S 021-049007,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Havířov,Instalowanie wind,statutární město Havířov,26/01/2021,"Lift Servis Work, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 22 387 883.00 CZK
2021/S 021-049006,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane,"Cepro, a.s.",05/04/2018,"Ateko, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 13 649 000.00 CZKCałkowita końcowa wartość umowy/części: 13 649 000.00 CZK
2021/S 021-049004,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Kroměříž,Roboty budowlane,Město Kroměříž,27/01/2021,Gemo a.s.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 2 000 000.00 CZKCałkowita końcowa wartość umowy/części: 1 941 361.20 CZK
2021/S 021-049003,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty instalacyjne w budynkach,"Čepro, a.s.",12/09/2019,"Nešetřil a syn, stavební a potrubářská firma, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 19 782 713.00 CZKCałkowita końcowa wartość umowy/części: 19 782 713.00 CZK
2021/S 021-049002,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty instalacyjne w budynkach,"ČEPRO, a.s.",17/05/2019,"OH - Mont, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 37 036 779.00 CZKCałkowita końcowa wartość umowy/części: 37 036 779.00 CZK
2021/S 021-048995,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Hradec Králové,Roboty budowlane,Královéhradecký kraj,19/01/2021,"CE - ING, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 17 649 578.00 CZKCałkowita końcowa wartość umowy/części: 13 796 934.61 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",01/10/2020,R-built s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 984 080.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",26/10/2020,"SHEL ENERGO, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 143 149.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",28/12/2020,EMJ s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 412 410.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",27/10/2020,HTEEC Service s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 018 153.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",13/11/2020,JIPAKU s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 346 876.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",04/12/2020,OMEXOM GA Energo s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 2 044 234.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",02/11/2020,"ELMO Schoř, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 1 112 739.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",05/11/2020,V A M A s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 256 040.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",20/11/2020,ELMOS LIBEREC s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 393 074.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",01/10/2020,ELIPROM spol. s r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 140 260.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",10/11/2020,"MONEST, spol. s r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 65 760.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",02/10/2020,LAMAL s.r.o.,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 271 836.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",19/10/2020,"INEL - Technik, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 469 137.00 CZK
2021/S 020-047948,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Děčín,Roboty budowlane w zakresie budowy linii energetycznych,"ČEZ Distribuce, a.s.",13/11/2020,Libor Eichler,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 42 486.00 CZK
