Textbox_UWAGA,Textbox_UWAGA2,Textbox_TYTUL,Textbox_PARAMETRY
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 XI,"1,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 XII,"2,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 I,"3,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 II,"1,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 III,"6,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 IV,"5,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 V,"8,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VI,"11,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VII,"6,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VIII,"7,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 IX,"8,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 X,"5,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 XI,"4,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 XII,"-0,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 I,"7,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 II,"5,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 III,"5,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 IV,"-34,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 V,"-17,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VI,"-14,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VII,"-2,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VIII,"-6,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 IX,"-0,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 X,"1,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 XI,"-10,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 XII,"-2,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 I,"-2,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 II,"-1,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 III,"2,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 IV,"4,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 V,"6,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VI,"6,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VII,"4,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VIII,"3,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 IX,"1,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 X,"2,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 XI,"0,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 XII,"-0,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 I,"-1,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 II,"-5,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 III,"-4,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 IV,"-6,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 V,"-8,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VI,"-7,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VII,"-2,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VIII,"-2,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 IX,"-3,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 X,"-0,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 XI,"-3,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 XII,"-5,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 I,"-1,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 II,"-5,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 III,"-0,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 IV,"0,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 V,"0,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VI,"2,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VII,"5,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VIII,"1,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 IX,"2,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 X,"6,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 XI,"9,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 XII,"-0,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 I,"8,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 II,"4,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 III,"2,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 IV,"2,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 V,"2,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VI,"2,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VII,"8,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VIII,"4,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 IX,"3,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 X,"2,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 XI,"1,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 XII,"-5,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 I,"0,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 II,"-1,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 III,"0,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 IV,"2,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 V,"5,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VI,"2,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VII,"8,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VIII,"5,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 IX,"7,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 X,"13,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 XI,"9,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 XII,"8,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 I,"15,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 II,"16,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 III,"12,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 IV,"6,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 V,"11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VI,"11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VII,"8,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VIII,"12,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 IX,"6,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 X,"4,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 XI,"7,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 XII,"6,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 I,"7,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 II,"5,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 III,"2,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 IV,"4,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 V,"7,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VI,"11,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VII,"11,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VIII,"11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 IX,"12,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 X,"9,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 XI,"9,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 XII,"5,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 I,"15,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 II,"6,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 III,"8,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 IV,"-9,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 V,"-4,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VI,"-3,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VII,"7,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VIII,"2,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 IX,"9,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 X,"9,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 XI,"2,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 XII,"11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 I,"10,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 II,"4,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 III,"10,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 IV,"7,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 V,"8,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VI,"10,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VII,"6,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VIII,"6,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 IX,"8,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 X,"10,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 XI,"9,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 XII,"8,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 I,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 II,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 III,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 IV,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 V,"3,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VI,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VII,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VIII,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 IX,"2,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 X,"2,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 XI,"2,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 XII,"2,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 I,"3,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 II,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 III,"2,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 IV,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 V,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VI,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VII,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VIII,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 IX,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 X,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 XI,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 XII,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 I,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 II,"4,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 III,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 IV,"3,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 V,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VI,"4,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VII,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VIII,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 IX,"3,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 X,"3,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 XI,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 XII,"3,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 I,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 II,"4,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 III,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 IV,"3,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 V,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VI,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VII,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VIII,"2,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 IX,"3,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 X,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 XI,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 XII,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 I,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 II,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 III,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 IV,"4,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 V,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VI,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VII,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VIII,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 IX,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 X,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 XI,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 XII,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 I,"1,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 II,"1,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 III,"1,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 IV,"2,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 V,"1,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VI,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VII,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VIII,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 IX,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 X,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 XI,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 XII,"1,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 I,"1,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 II,"1,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 III,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 IV,"0,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 V,"0,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VI,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VII,"1,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VIII,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 IX,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 X,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 XI,"0,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 XII,"0,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 I,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 II,"4,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 III,"2,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 IV,"2,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 V,"2,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VI,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VII,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VIII,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 IX,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 X,"2,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 XI,"2,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 XII,"2,6"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 I,"42,3"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 II,"40,1"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 III,"40,6"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 IV,"38,2"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 V,"40,6"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 VI,"39,0"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 VII,"35,9"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 VIII,"30,7"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 IX,"32,9"
