Textbox_UWAGA,Textbox_UWAGA2,Textbox_TYTUL,Textbox_PARAMETRY
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 III,"5,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 IV,"6,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 V,"7,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VI,"7,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VII,"6,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VIII,"6,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 IX,"4,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 X,"1,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 XI,"-0,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 XII,"-2,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 I,"2,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 II,"4,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 III,"7,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 IV,"8,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 V,"7,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VI,"7,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VII,"6,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 VIII,"5,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 IX,"3,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 X,"0,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 XI,"-1,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2019 XII,"-4,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 I,"-0,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 II,"0,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 III,"-1,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 IV,"-47,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 V,"-38,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VI,"-25,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VII,"-16,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 VIII,"-15,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 IX,"-15,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 X,"-16,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 XI,"-26,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2020 XII,"-22,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 I,"-18,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 II,"-17,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 III,"-15,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 IV,"-13,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 V,"-8,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VI,"-5,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VII,"-4,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 VIII,"-7,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 IX,"-7,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 X,"-9,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 XI,"-11,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2021 XII,"-15,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 I,"-17,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 II,"-24,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 III,"-24,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 IV,"-21,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 V,"-18,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VI,"-15,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VII,"-13,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 VIII,"-11,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 IX,"-11,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 X,"-11,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 XI,"-10,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2014 XII,"-12,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 I,"-9,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 II,"-15,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 III,"-16,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 IV,"-15,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 V,"-11,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VI,"-10,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VII,"-8,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 VIII,"-5,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 IX,"-7,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 X,"-7,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 XI,"-8,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2015 XII,"-10,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 I,"-7,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 II,"-12,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 III,"-15,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 IV,"-12,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 V,"-11,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VI,"-9,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VII,"-8,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 VIII,"-8,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 IX,"-8,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 X,"-9,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 XI,"-9,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2016 XII,"-12,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 I,"-4,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 II,"-8,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 III,"-10,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 IV,"-6,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 V,"-6,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VI,"-0,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VII,"1,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 VIII,"0,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 IX,"0,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 X,"1,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 XI,"0,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2017 XII,"-1,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 I,"4,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 II,"1,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 III,"-0,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 IV,"0,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 V,"2,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VI,"3,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VII,"4,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 VIII,"4,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 IX,"3,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 X,"2,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 XI,"2,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2018 XII,"1,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 I,"10,4"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 II,"6,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 III,"5,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 IV,"6,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 V,"5,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VI,"7,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VII,"6,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 VIII,"7,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 IX,"6,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 X,"5,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 XI,"5,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2019 XII,"3,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 I,"9,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 II,"4,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 III,"1,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 IV,"-26,0"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 V,"-27,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VI,"-21,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VII,"-15,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 VIII,"-11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 IX,"-11,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 X,"-8,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 XI,"-13,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2020 XII,"-13,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 I,"-10,3"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 II,"-15,1"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 III,"-17,2"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 IV,"-15,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 V,"-12,5"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VI,"-8,9"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VII,"-6,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 VIII,"-7,6"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 IX,"-5,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 X,"-6,7"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 XI,"-5,8"
Wyszczególnienie,Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,2021 XII,"-7,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 I,"3,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 II,"2,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 III,"3,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 IV,"2,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 V,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VI,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VII,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 VIII,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 IX,"3,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 X,"3,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 XI,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2014 XII,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 I,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 II,"3,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 III,"4,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 IV,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 V,"4,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VI,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VII,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 VIII,"4,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 IX,"4,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 X,"4,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 XI,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2015 XII,"4,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 I,"3,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 II,"3,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 III,"3,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 IV,"4,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 V,"5,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VI,"4,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VII,"4,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 VIII,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 IX,"4,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 X,"4,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 XI,"4,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2016 XII,"4,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 I,"4,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 II,"4,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 III,"4,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 IV,"4,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 V,"4,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VI,"6,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VII,"6,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 VIII,"5,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 IX,"6,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 X,"5,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 XI,"5,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2017 XII,"4,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 I,"6,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 II,"6,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 III,"6,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 IV,"6,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 V,"7,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VI,"7,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VII,"7,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 VIII,"7,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 IX,"7,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 X,"6,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 XI,"6,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2018 XII,"6,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 I,"7,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 II,"7,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 III,"8,0"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 IV,"8,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 V,"8,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VI,"8,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VII,"8,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 VIII,"8,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 IX,"8,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 X,"8,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 XI,"8,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2019 XII,"8,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 I,"7,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 II,"8,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 III,"7,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 IV,"4,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 V,"4,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VI,"4,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VII,"5,9"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 VIII,"6,2"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 IX,"6,1"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 X,"6,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 XI,"5,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2020 XII,"5,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 I,"5,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 II,"5,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 III,"5,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 IV,"5,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 V,"6,4"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VI,"6,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VII,"6,7"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 VIII,"6,8"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 IX,"7,3"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 X,"6,6"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 XI,"6,5"
Wyszczególnienie,Bariery działalności - brak barier [%],2021 XII,"6,3"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 I,"40,8"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 II,"41,0"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 III,"42,7"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 IV,"41,0"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 V,"39,3"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 VI,"37,4"
Wyszczególnienie,Bariery działalności - niedostateczny popyt [%],2014 VII,"35,5"
